Field name,Reservoir unit,Country,Region,Basin name,Tectonic regime,Latitude,Longitude,Operator company,Onshore/Offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Reservoir period,Lithology,Thickness (gross average ft),Thickness (net pay average ft),Porosity,Permeability
KELAMAYI,KELAMAYI,CHINA,FAR EAST,JUNGGAR (ZHUNGEER),COMPRESSION/EROSION,45.5417,84.8917,PETROCHINA,ONSHORE,OIL,DECLINING PRODUCTION,THRUST,6100,TRIASSIC,CONGLOMERATE,750.0,43.0,18.0,279.0
MILK RIVER GAS POOL,MILK RIVER,CANADA,NORTH AMERICA,WILLISTON,COMPRESSION,50.0688,-111.1423,NUMEROUS,ONSHORE,GAS,UNKNOWN,INTRACRATONIC,984,CRETACEOUS,SILTSTONE,250.0,20.0,14.0,1.0
BRAGE,FENSFJORD,NORWAY,EUROPE,NORTH SEA NORTHERN,EXTENSION/EROSION,60.5868,3.0943,STATOILHYDRO,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,6348,JURASSIC,SANDSTONE,123.0,82.0,27.0,80.0
KATY,YEGUA,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE,29.8443,-95.8638,EXXONMOBIL AND OTHERS,ONSHORE,GAS-CONDENSATE,NEARLY DEPLETED,DELTA/SALT/PASSIVE MARGIN,6270,PALEOGENE,SANDSTONE,1350.0,335.0,28.0,275.0
ZAKUM,THAMAMA ZONE IV,UAE,MIDDLE EAST,RUB AL KHALI,GRAVITY/EVAPORITE/COMPRESSION,24.8667,53.6833,ADMA /ZADCO,OFFSHORE,OIL,PLATEAU PRODUCTION,SALT/FORELAND,7850,CRETACEOUS,LIMESTONE,147.0,90.0,25.0,60.0
TALIN,TYUMEN (JUK10-JUK11),RUSSIA,FORMER SOVIET UNION,SIBERIAN WESTERN,COMPRESSION,62.0,66.55,TNK-BP,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,8399,JURASSIC,SANDSTONE,110.0,66.0,15.0,160.0
CHAUNOY,CHAUNOY,FRANCE,EUROPE,PARIS,EXTENSION,48.5687,2.8034,ESSOREP,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,7356,TRIASSIC,SANDSTONE,217.0,82.0,13.0,130.0
CYMRIC,TULARE,USA,NORTH AMERICA,SAN JOAQUIN,COMPRESSION/STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,35.3826,-119.708,CHEVRON /PXP,ONSHORE,OIL,DECLINING PRODUCTION,WRENCH,1000,NEOGENE,SANDSTONE,600.0,200.0,35.0,3000.0
YANLING,WUMISHAN,CHINA,FAR EAST,BOHAI,EXTENSION,38.7349,115.9453,PETROCHINA,ONSHORE,OIL,NEARLY DEPLETED,RIFT,9327,PROTEROZOIC,DOLOMITE,1306.0,177.0,1.3,1.2
JUMPING POUND WEST,TURNER VALLEY,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION/SHALE,51.1952,-114.8046,SHELL /ENCANA,ONSHORE,GAS,DECLINING PRODUCTION,SUB-THRUST/FORELAND,9870,CARBONIFEROUS,DOLOMITE,800.0,118.0,6.3,3.15
BU HASA,SHUAIBA,UAE,MIDDLE EAST,RUB AL KHALI,COMPRESSION/EVAPORITE/EXTENSION/LINKED,23.531,53.2953,ADCO,ONSHORE,OIL,SECOND PLATEAU PRODUTION,SALT/FORELAND,7650,CRETACEOUS,LIMESTONE,420.0,290.0,23.0,20.0
SAMARANG,STAGES IVC-IVF,MALAYSIA,FAR EAST,SABAH,GRAVITY/SHALE/EXTENSION/SYNSEDIMENTATION,5.6284,114.8906,PETRONAS,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/FORELAND,1180,NEOGENE,SANDSTONE,6739.0,500.0,23.0,250.0
MARLIM,CARAPEBUS,BRAZIL,LATIN AMERICA,CAMPOS,GRAVITY/EXTENSION/EVAPORITE,-22.4348,-40.0666,PETROBRAS,OFFSHORE,OIL,PLATEAU PRODUCTION,SALT/PASSIVE MARGIN,5543,PALEOGENE-NEOGENE,SANDSTONE,150.0,150.0,28.5,2000.0
ZAOYUAN,UNNAMED (FENGHUADIAN BLOCK),CHINA,FAR EAST,BOHAI,EXTENSION,38.21,117.06,PETROCHINA,ONSHORE,OIL,MATURE PRODUCTION,RIFT,9843,MESOZOIC,VOLCANICS,492.0,194.0,12.7,3.59
WHITE ROSE,AVALON (SOUTH POOL),CANADA,NORTH AMERICA,JEANNE D ARC,EXTENSION/EVAPORITE/EROSION/GRAVITY,46.8638,-48.0664,HUSKY ENERGY,OFFSHORE,OIL,DEVELOPING,RIFT/SALT,8842,CRETACEOUS,SANDSTONE,984.0,328.0,15.0,127.0
BERRI,HANIFA,SAUDI ARABIA,MIDDLE EAST,THE GULF,COMPRESSION/EVAPORITE,26.9833,49.6167,SAUDI ARAMCO,OFFSHORE,OIL,DECLINING PRODUCTION,FORELAND,7500,JURASSIC,LIMESTONE,270.0,190.0,17.0,50.0
RAMADAN,NUBIA C,EGYPT,AFRICA,GULF OF SUEZ,EXTENSION/EVAPORITE/INVERSION,28.2919,33.3144,GUPCO,OFFSHORE,OIL,MATURE PRODUCTION,SUB-SALT/RIFT,10700,PALEOZOIC,SANDSTONE,1300.0,750.0,15.0,100.0
BARONIA,RR2/RS2,MALAYSIA,FAR EAST,SABAH,GRAVITY/SHALE/EXTENSION/SYNSEDIMENTATION,4.705,113.694,PETRONAS,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/WRENCH,6615,NEOGENE,SANDSTONE,375.0,175.0,20.0,185.0
STATFJORD,BRENT,NORWAY /UK,EUROPE,NORTH SEA NORTHERN,EXTENSION/EROSION,61.2042,1.8287,STATOILHYDRO,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,7267,JURASSIC,SANDSTONE,700.0,490.0,27.0,2500.0
MABEE,SAN ANDRES,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.226,-102.23,CHEVRON,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,4680,PERMIAN,DOLOMITE,400.0,50.0,10.5,8.0
BADRI,BELAYIM,EGYPT,AFRICA,GULF OF SUEZ,EXTENSION/EVAPORITE,28.2349,33.4649,GUPCO,OFFSHORE,OIL,PLATEAU PRODUCTION,SUB-SALT/RIFT,5025,NEOGENE,SANDSTONE,285.0,117.0,24.0,300.0
BUNYU,TARAKAN-SANTUL-TABUL-BUNYU,INDONESIA,FAR EAST,TARAKAN,INVERSION/COMPRESSION/EXTENSION/SHALE,3.4708,117.8625,PERTAMINA,ONSHORE,GAS,NEARLY DEPLETED,INVERSION/BACKARC,1115,NEOGENE,THINLY-BEDDED SANDSTONE,8200.0,390.0,25.0,1000.0
YAKIN,BALIKPAPAN (YAKIN),,,,INVERSION/COMPRESSION/EXTENSION/SHALE,,,CHEVRON,OFFSHORE,OIL,DECLINING PRODUCTION,INVERSION/BACKARC,490,NEOGENE,SANDSTONE,4800.0,400.0,25.0,500.0
ODOPTU-MORE,LOWER NUTOVO (XII-XX IV),RUSSIA,FORMER SOVIET UNION,NORTH SAKHALIN,STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,53.1333,143.4667,EXXONMOBIL /SMNG,OFFSHORE,OIL,DEVELOPING,INVERSION/WRENCH,3520,NEOGENE,SANDSTONE,2460.0,220.0,20.0,45.0
EL DORADO,ADMIRE 650 SAND,USA,NORTH AMERICA,CHEROKEE,INVERSION/COMPRESSION/EXTENSION/EROSION,37.8526,-97.8984,OCCIDENTAL,ONSHORE,OIL,ABANDONED,FORELAND,500,PERMIAN,SANDSTONE,40.0,18.0,28.0,240.0
WESTHOPE SOUTH,SPEARFISH,USA,NORTH AMERICA,WILLISTON,COMPRESSION,48.8521,-101.013,AMERADA HESS,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,3275,TRIASSIC,SANDSTONE,43.0,15.5,14.0,13.5
EMMA,SAN ANDRES,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.126999999999995,-102.6353,EXXONMOBIL,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,4185,PERMIAN,DOLOMITE,350.0,40.0,8.0,3.0
HIDES,IMBURU-TORO,PAPUA NEW GUINEA,FAR EAST,PAPUAN FTB,COMPRESSION,-6.0136,142.8409,OIL SEARCH LTD,ONSHORE,GAS-CONDENSATE,CONTINUING DEVELOPMENT,THRUST,9905,JURASSIC-CRETACEOUS,SANDSTONE,490.0,240.0,10.0,100.0
DRAKE POINT,DRAKE POINT-INTREPID INLET,CANADA,NORTH AMERICA,SVERDRUP,COMPRESSION/EVAPORITE/EXTENSION/LINKED,76.4462,-108.9172,PANARCTIC OILS,ONSHORE,GAS,UNDEVELOPED,FORELAND,3390,JURASSIC,SANDSTONE,100.0,71.0,20.0,566.0
ALTAMONT-BLUEBELL,GREEN RIVER AND COLTON/WASATCH,USA,NORTH AMERICA,UINTA,COMPRESSION,40.3,-110.21,NUMEROUS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,15250,PALEOGENE,SANDSTONE,8000.0,575.0,5.0,0.1
BELL CREEK,MUDDY,USA,NORTH AMERICA,POWDER RIVER,COMPRESSION,45.1039,-105.0967,SAMUEL GARY,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,4300,CRETACEOUS,SANDSTONE,45.0,23.0,28.5,2250.0
WELL DRAW,MESAVERDE (TEAPOT SAND),USA,NORTH AMERICA,POWDER RIVER,COMPRESSION,43.006,-105.1392,MATRIX PRODUCTION AND OTHERS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,6367,CRETACEOUS,SANDSTONE,110.0,17.0,14.0,4.3
